metric_name
pmcd.seqnum
pmcd.pid
pmcd.pmlogger.port-79404
filesys.full-/dev/root
filesys.full-/dev/sda1
filesys.full-/dev/mapper/vg_jaguar-var
filesys.full-/dev/mapper/vg_jaguar-log
swapdev.free-/dev/dm-4
swapdev.length-/dev/dm-4
swapdev.maxswap-/dev/dm-4
swapdev.vlength-/dev/dm-4
swapdev.priority-/dev/dm-4
hinv.ncpu
hinv.hugepagesize
hinv.cpu.clock-cpu0
hinv.cpu.clock-cpu1
hinv.cpu.clock-cpu2
hinv.cpu.clock-cpu3
hinv.cpu.clock-cpu4
hinv.cpu.clock-cpu5
hinv.cpu.clock-cpu6
hinv.cpu.clock-cpu7
kernel.all.running
kernel.all.blocked
kernel.all.load-1 minute
kernel.all.load-5 minute
kernel.all.load-15 minute
kernel.all.runnable
kernel.all.nprocs
kernel.all.nusers
kernel.all.uptime
kernel.all.idletime
vfs.files.count
vfs.files.free
vfs.files.max
vfs.inodes.count
vfs.inodes.free
vfs.dentry.count
vfs.dentry.free
ipc.shm.max_segsz
ipc.shm.min_segsz
ipc.shm.max_seg
ipc.shm.max_segproc
ipc.shm.max_shmsys
ipc.shm.tot
ipc.shm.rss
ipc.shm.swp
ipc.shm.used_ids
ipc.shm.swap_attempts
ipc.shm.swap_successes
ipc.msg.sz_pool
ipc.msg.mapent
ipc.msg.max_msgsz
ipc.msg.max_defmsgq
ipc.msg.max_msgqid
ipc.msg.max_msgseg
ipc.msg.num_smsghdr
ipc.msg.max_seg
ipc.msg.used_queues
ipc.msg.tot_msg
ipc.msg.tot_bytes
ipc.sem.max_semmap
ipc.sem.max_semid
ipc.sem.max_sem
ipc.sem.num_undo
ipc.sem.max_perid
ipc.sem.max_ops
ipc.sem.max_undoent
ipc.sem.sz_semundo
ipc.sem.max_semval
ipc.sem.max_exit
ipc.sem.used_sem
ipc.sem.tot_sem
mem.physmem
mem.freemem
mem.util.used
mem.util.free
mem.util.bufmem
mem.util.cached
mem.util.other
mem.util.swapCached
mem.util.active
mem.util.inactive
mem.util.swapTotal
mem.util.swapFree
mem.util.dirty
mem.util.writeback
mem.util.mapped
mem.util.slab
mem.util.committed_AS
mem.util.pageTables
mem.util.cache_clean
mem.util.anonpages
mem.util.commitLimit
mem.util.bounce
mem.util.NFS_Unstable
mem.util.slabReclaimable
mem.util.slabUnreclaimable
mem.util.active_anon
mem.util.inactive_anon
mem.util.active_file
mem.util.inactive_file
mem.util.unevictable
mem.util.mlocked
mem.util.shmem
mem.util.kernelStack
mem.util.hugepagesTotal
mem.util.hugepagesFree
mem.util.hugepagesRsvd
mem.util.hugepagesSurp
